>> .show netypes
The value DEPRECATED in the second column means that
the NE type is old and should no longer be used.
It is not shown by the Create NE dialogue in the GUI.

The value TEMPLATE-BASED in the second colum means that
the NE type has been created from a template.

If the NE type name starts with "TEMPLATE",
the NE type can only be used to create other NE types.
NE type templates are not shown by the Create NE
dialogue, but the NE types created from them are.

ACME 4-0                                     ACME 4.0
TEMPLATE CISCO ASR9000                       CISCO ASR9000
TEMPLATE EDA1200 NEW                         EDA1200 NEW
TEMPLATE EDA2530 4                           EDA2530
TEMPLATE ESC R9A                             SSR-IPOS 420
TEMPLATE EdgeRouter 6672                     EdgeRouter 6672
TEMPLATE FrontHaul 6080                      FrontHaul 6080
TEMPLATE FrontHaul-6080 17A-V1               FrontHaul-6080_17A-V1
TEMPLATE JUNIPER MX                          JUNIPER MX
TEMPLATE MDRS ALL                            MDRS
TEMPLATE MHL-3000 R5                         MHL 3000 R5.2
TEMPLATE MHL-3000 R6                         MHL 3000 R6.0
TEMPLATE MHL-3000 R6-1                       MHL 3000 R6.1
TEMPLATE MHL-3000 R6-14B                     MHL 3000 R6.2
TEMPLATE ML 6691                             ML 6691
TEMPLATE ML-CN 500                           ML-CN 500
TEMPLATE ML-CN 510                           ML-CN 510
TEMPLATE ML-CN 510-2-3                       ML-CN 510
TEMPLATE ML-CN 510-2-4                       ML-CN 510
TEMPLATE ML-CN 510-2-4-FP                    ML-CN 510 2.4FP
TEMPLATE ML-LH 1-6-FP                        ML-TN
TEMPLATE ML-LH 2-0                           ML-TN
TEMPLATE ML-PT 2010-1-1                      ML-PT 2010 1.1
TEMPLATE ML-PT 2010-1-2                      ML-PT 2010 1.2
TEMPLATE ML-PT 6010                          ML-PT 6010
TEMPLATE ML-SP 415                           ML-SP 415
TEMPLATE ML-SP 420                           ML-SP 420
TEMPLATE ML-TN 4-0                           ML-TN
TEMPLATE ML-TN 4-3-1                         ML-TN 4.3.1
TEMPLATE ML-TN 4-3-FP                        ML-TN 4.3FP
TEMPLATE ML-TN 4-4                           ML-TN 4.4
TEMPLATE ML-TN 4-4-FP                        ML-TN 4.4 FP
TEMPLATE ML-TN 5-0                           ML-TN 5.0
TEMPLATE ML-TN 5-1                           ML-TN 5.1
TEMPLATE ML-TN 5-2                           ML-TN 5.2
TEMPLATE ML-TN 5-3                           ML-TN 5.3
TEMPLATE ML-TN 5-3-FP                        ML-TN 5.3FP
TEMPLATE ML-TN 5-3-FP2                       ML-TN 5.3FP2
TEMPLATE ML-TN 5-4                           ML-TN 5.4
TEMPLATE ML-TN 5-4-FP                        ML-TN 5.4 FP
TEMPLATE ML-TN 5-4-FP-AMM20pB                ML-TN 5.4FP AMM20pB
TEMPLATE ML-TN 6-0-AMM2pB                    ML-TN 6.0 AMM2pB
TEMPLATE OMS1400 ALL                         no_value
TEMPLATE OMS1400 OMS1410-2-0                 no_value
TEMPLATE OMS1600 3-1                         OMS 1664
TEMPLATE OMS2400 ALL                         OMS2400
TEMPLATE OMS846 ALL                          OMS846
TEMPLATE OMS860 ALL                          OMS860
TEMPLATE OMS870 ALL                          OMS870
TEMPLATE OneNE ALL                           no_value
TEMPLATE PT2010 ALL                          no_value
TEMPLATE PT2020 ALL                          no_value
TEMPLATE PT3060 ALL                          no_value
TEMPLATE PT3060-1 ALL                        no_value
TEMPLATE PT6020 ALL                          no_value
TEMPLATE RADWIN 2000                         RADWIN 2000
TEMPLATE RAMAN 1-0                           RAMAN
TEMPLATE Router 8801-2-0                     Router8801 R2-0
TEMPLATE SP110 1-7                           no_value
TEMPLATE SP110 1-8                           no_value
TEMPLATE SP110 ALL                           no_value
TEMPLATE SP210-310 ALL                       no_value
TEMPLATE SP310 1-7                           no_value
TEMPLATE SPO1400 ALL                         no_value
TEMPLATE SPO1400 FROM-4-0                    no_value
TEMPLATE SPO1400 R14B                        no_value
TEMPLATE SPO1400 R16A045                     no_value
TEMPLATE SSR 420                             SSR-IPOS 420
TEMPLATE SSR 8004                            SSR 8004
TEMPLATE SSR 8010                            SSR 8010
TEMPLATE SSR 8020                            SSR 8020
TEMPLATE TELLABS 8600                        no_value
TEMPLATE vBNG R3-1                           vBNG R3.1
EWM A1                                       BELAIR EWM A1
ADC 1                                        ADC
AECID 16                                     AECID 16 NE
AF 2-2                                       Sun based AF 2.2 NE
AF 3-0                                       Sun based AF 3.0 NE
AF 3-0-ESA                                   Sun based AF 3.0 NE with ESA FM support
AFG 16-1                                     AFG 16.1 NE
AFG 17                                       AFG 17 NE
AFG 2-0                                      AFG 2.0 NE
AFG 3-0                                      AFG 3.0 NE
AFG 3-1                                      AFG 3.1 NE
AFG 3-2                                      AFG 3.2 NE
AFG 5-0                                      AFG 5.0 NE
AIR 3-2                                      Sun based AIR 3.2 NE
AIR 4-0                                      Sun based AIR 4.0 NE
AIR 4-0-ESA                                  Sun based AIR 4.0 NE with ESA FM support
ALARM-EXP WPP                                EXPERIMENTAL WPP NE FOR ALARM SENDING.
BCD 1-0-7-ESA                                Sun based BCD 1.0.7 NE with ESA FM support
BCS-M 2-1                                    OMP based BCS-M 2.1 NE
BCS-VC 2-1                                   OMP  based BCS-VC 2.1 NE
BDB 16A                                      CBA based BDB 16A NE
BDB 16B                                      CBA based BDB 16B NE
CCN 5-10-3                                   TSP 6.0 based CCN 5.10.3 NE
CCN 5-11-0                                   TSP 6.0 based CCN 5.11.0 NE
CCN 5-4                                      TSP 6.0 based CCN 5.4 NE
CCN 5-5                                      TSP 6.0 based CCN 5.5 NE
CCN 5-5-ESA                                  Sun based CCN 5.5 NE with ESA FM support
CCN 5-8                                      TSP 6.0 based CCN 5.8 NE
CEE 16A-1                                    CEE 16A
CEE 16A-V1                                   CBA based CEE 16A
CEE 6                                        CBA based CEE 16A
CPG 10A                                      CPG 10A
CPG 10A-FP01                                 CPG 10A-FP01
CPG 10A-FP02                                 CPG 10A-FP02
CPG 10B                                      CPG 10B
CPG 11A                                      CPG 11A
CPG 11B                                      CPG 11B
CPG 11B-FP01                                 CPG 11B-FP01
CPG 12A                                      CPG 12A
CPG 13A                                      CPG 13A
CPG 13B                                      CPG 13B
CRS 4-2                                      Sun based CRS 4.2 NE
CRS 5-0                                      Sun based CRS 5.0 NE
CRS 5-0-1-ESA                                Sun based CRS 5.0.1 NE with ESA FM support
CRS 5-0-ESA                                  Sun based CRS 5.0 NE with ESA FM support
CRS 6-0-ESA                                  Sun based CRS 6.0 NE with ESA FM support
CRS 7-1-ESA                                  Sun based CRS 7.1 NE with ESA FM support
CRS 7-3-ESA                                  Sun based CRS 7.3 NE with ESA FM support
CS-AS Rel13                                  CS-AS Rel13 NE
CS-AS Rel14                                  CS-AS Rel14 NE
CS-CDS Rel13                                 CS-CDS Rel13 NE
CS-CDS Rel14                                 CS-CDS Rel14 NE
CS-DS Rel13                                  CS-DS Rel13 NE
CS-DS Rel14                                  CS-DS Rel14 NE
CS-MS Rel13                                  CS-MS Rel13 NE
CS-MS Rel14                                  CS-MS Rel14 NE
CSCF 11A                                     TSP 6.0 based CSCF 11A NE with data
CSCF 11B                                     TSP 6.0 based CSCF 11B NE with data
CSCF 12A                                     TSP 6.0 based CSCF 12A NE with data
CSCF 12B                                     TSP 6.0 based CSCF 12B NE with data
CSCF 13A                                     TSP 6.0 based CSCF 13A NE with data
CSCF 13B                                     TSP 6.0 based CSCF 13B NE with data
CSCF 14A                                     TSP 6.0 based CSCF 14A NE with data
CSCF 14B                                     TSP 6.0 based CSCF 14B NE with data
CSCF 15A                                     TSP 6.0 based CSCF 15A NE with data
CSCF 15B                                     TSP 6.0 based CSCF 15B NE with data
CSCF 15B-CP1                                 TSP 6.0 based CSCF 15B CP1 NE with data
CSCF 16A                                     TSP 6.0 based CSCF 16A NE with data
CSCF 16B                                     TSP 6.0 based CSCF 16B NE with data
CSCF 17A                                     TSP 6.0 based CSCF 17A NE with data
CSCF 4-0                                     TSP 5.2 based CSCF 4.0 NE with data
CSCF 4-1                                     TSP 5.3 based CSCF 4.1 NE
CSCF 5-0                                     TSP 6.0 based CSCF 5.0 NE with data
CSCF 7-2                                     TSP 6.0 based CSCF 7.2 NE with data
CSCF-CBA 1-2                                 CBA 6.0 based CSCF 1.2 NE with data
CSCF-CBA 1-3                                 CBA 6.0 based CSCF 1.3 NE with data
CSCF-CBA 15B                                 CBA 6.0 based CSCF 15B NE with data
CSCF-CBA 16A                                 CBA 6.0 based CSCF 16A NE with data
CSCF-CBA 16B                                 CBA 6.0 based CSCF 16B NE with data
CUDB 1-0                                     CUDB 1.0 NE
CUDB 1-2                                     CUDB 1-2 NE
CUDB 1-2-16A-ESA                             CUDB 1-2-16A NE
CUDB 11A                                     CUDB 11A NE
CUDB 11B                                     CUDB 11B NE
CUDB 12A                                     CUDB 12A NE
CUDB 12B                                     CUDB 12B NE
CUDB 13B                                     CUDB 13B NE
CUDB 13B-FD1                                 CUDB 13B FD1 NE
CUDB 15A                                     CUDB 15A NE
CUDB 16A                                     CUDB 16A NE
CUDB 16A-FD1                                 CUDB 16A FD1 NE
DAE 1-0                                      DAE v1.0
DDC R1                                       DDC R1 NE
DMX 2-0                                      DMX 2.0
E-CSCF 11A                                   TSP 6.0 based E-CSCF 11A NE with data
E-CSCF 11B                                   TSP 6.0 based E-CSCF 11B NE with data
E-CSCF 12A                                   TSP 6.0 based E-CSCF 12A NE with data
E-CSCF 12B                                   TSP 6.0 based E-CSCF 12B NE with data
E-CSCF 16B                                   TSP 6.0 based E-CSCF 16B NE with data
E-CSCF 5-0                                   TSP 6.0 based E-CSCF 5.0 NE with data
ECAS 15B                                     ECAS 15B
ECAS 16A                                     ECAS 16A
ECAS 17A                                     ECAS 17A
ECE 15-1-ESA                                 CORE ECE 15.1 with ESA
ECE 16-1-ESA                                 CORE ECE 16.1 with ESA
ECE 17-1-ESA                                 CORE ECE 17.1 with ESA
ECE 17-ESA                                   CORE ECE 17 with ESA
ECE 3-0-ESA                                  CORE ECE 3.0 with ESA
ECM R1-1                                     ECM
ECM R15-2                                    ECM
ECM R16                                      ECM
ECM R16-1                                    ECM
ECM R17                                      ECM
ECMS 2-0                                     ECMS 2.0 NE
